"COD_PED","COD_LINHA","DESC","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","Total Geral","LATITUDE","LONGITUDE"
3374829,"90","Rua dos Inconfidentes, 260",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19.96329059,-44.19102583
3374832,"90","Avenida Bandeirantes, 1391",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19.96623281,-44.18034499
3374834,"90","Rua de Gemini, 15A",NA,NA,NA,NA,NA,5,NA,3,NA,NA,1,NA,2,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,-19.97938258,-44.19989292
3374861,"90","Avenida Bandeirantes, 561",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19.96534581,-44.18487468
3374867,"90","Avenida Edmeia Mattos Lazzarotti, 2298",NA,NA,NA,NA,NA,1,NA,1,NA,5,NA,NA,3,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19.95811534,-44.19733301
3374869,"90","Avenida Edmeia Mattos Lazzarotti, 2708",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,-19.95466261,-44.1955608
3374870,"90","Sa¡da Edm‚ia Matos Lazaroti, 9759",NA,NA,NA,NA,NA,2,NA,1,NA,2,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19.95253058,-44.19462051
3374871,"90","Avenida Bias Fortes, 2264",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19.95834386,-44.19697102
3374872,"90","Avenida Edmeia Mattos Lazzarotti, 1750",NA,NA,NA,NA,NA,3,NA,3,NA,5,NA,NA,1,NA,NA,2,NA,2,1,NA,NA,NA,NA,NA,NA,-19.96123702,-44.19868398
3374917,"90","Rodovia Br 381 Fernao Dias, 16",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19.96448853,-44.17120844
